Last Price,Open Price,Max,Min,Size,Change Persent,Class
1690.27,1695.99,1752.94,1560.17,7.25,0.0034,XRP
1983.5,1690.29,2018.97,1657.78,6.96,0.1735,XRP
1575.6,1983.52,2028.4,1525.51,7.4,0.2057,XRP
1490.83,1575.61,1720.84,1449.31,7.14,0.0538,XRP
1557.55,1490.88,1647.5,1424.33,6.68,0.0448,XRP
1774.38,1557.35,1788.1,1493.19,5.79,0.1392,XRP
1468.79,1774.38,1786.73,1409.65,6.64,0.1722,XRP
1317.0,1468.76,1469.21,1222.29,7.6,0.1033,XRP
1311.8,1317.01,1399.67,1261.29,6.27,0.004,XRP
1315.05,1311.8,1383.02,1266.86,3.97,0.0025,XRP
1274.57,1315.08,1342.01,1196.63,4.06,0.0308,XRP
1313.64,1274.93,1341.21,1257.83,3.38,0.0307,XRP
1619.69,1313.64,1660.13,1301.8,6.73,0.233,XRP
1627.07,1619.67,1666.17,1503.29,6.02,0.0046,XRP
1256.29,1626.86,1637.44,1076.29,11.99,0.2279,XRP
1217.65,1256.29,1289.21,1175.42,3.72,0.0308,XRP
1205.15,1217.65,1229.2,1077.85,4.49,0.0103,XRP
1240.46,1205.17,1304.97,1151.98,3.49,0.0293,XRP
1266.62,1240.46,1303.92,1221.1,2.82,0.0211,XRP
1187.18,1266.36,1348.43,1156.91,4.05,0.0627,XRP
1220.46,1187.19,1229.47,1152.54,2.36,0.028,XRP
1195.67,1220.46,1233.15,1184.22,1.97,0.0203,XRP
1263.9,1195.69,1274.85,1191.67,2.15,0.0571,XRP
0.32715,0.35106,0.38143,0.3195,1.75,0.0681,XRP
0.32855,0.32712,0.33532,0.3107,1.43,0.0043,XRP
0.31304,0.32856,0.33047,0.30761,845.41,0.0472,XRP
0.31034,0.31302,0.33604,0.28176,2.32,0.0086,XRP
0.3122,0.31034,0.32012,0.28878,1.74,0.006,XRP
0.30083,0.3122,0.31334,0.29804,1.61,0.0364,XRP
0.33285,0.30089,0.34774,0.29894,3.08,0.1064,XRP
0.31411,0.33285,0.34362,0.29478,3.96,0.0563,XRP
0.31388,0.31411,0.32161,0.29794,2.35,70000.0,XRP
0.31871,0.31388,0.3252,0.30641,2.23,0.0154,XRP
0.31171,0.31871,0.32231,0.3028,2.24,0.022,XRP
0.31104,0.3117,0.31813,0.29407,2.81,0.0021,XRP
0.35256,0.31104,0.37939,0.30744,8.78,0.1335,XRP
0.32482,0.35256,0.37025,0.31457,5.27,0.0787,XRP
